ASX Listed Companies (1 June 2019),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
ABA,Auswide Bank Limited,Financials,"204,585,000",0.009,,,
AHG,Automotive Holdings,Consumer Discretionary,"971,655,000",0.045,,,
AEV,Avenira Limited,Materials,"14,820,800",0.001,,,
A200,BETAAUSTRALIA200ETF,,"554,954,000",0.026,,,
AAA,Betasharescashetf,,"1,435,820,000",0.066,,,
ACDC,ETFs Batt Tech Lith,,"10,543,200",0.000,,,
4CE,Force Com Limited,Materials,"4,634,050",0.000,,,
360,LIFE360 Inc Cdi 3:1 US Person Prohibited Excluding QIB,Information Technology,"568,369,000",0.026,,,
1AL,Oneall International Limited,Consumer Discretionary,"104,013,000",0.005,,,
3DP,Pointerra Limited,Information Technology,"20,848,900",0.001,,,
A2M,The a2 Milk Company,Consumer Staples,"10,788,300,000",0.499,,,
AIR,Astivita Limited,Industrials,"24,226,700",0.001,,,
AIS,Aeris Resources Limited,Materials,"32,811,200",0.002,,,
AIV,Activex Limited,Materials,"34,559,500",0.002,,,
AIY,Authorised Invest,,"25,321,000",0.001,,,
AIZ,Air New Zealand,Industrials,"2,717,280,000",0.126,,,
AJC,Acacia Coal Limited,Energy,"4,067,650",0.000,,,
AJJ,Asian Amer Medical,Health Care,"40,530,300",0.002,,,
AJL,AJ Lucas Group,Industrials,"71,259,200",0.003,,,
AJM,Altura Mining Limited,Materials,"223,174,000",0.010,,,
AJQ,Armour Energy Limited,Energy,"35,635,100",0.002,,,
AJX,Alexium Int Group,Materials,"44,907,700",0.002,,,
AJY,Asaplus Resources,Materials,"16,320,000",0.001,,,
AKG,Academies Aus Group,Consumer Discretionary,"47,217,400",0.002,,,
AKM,Aspire Mining Limited,Materials,"59,877,700",0.003,,,
AKN,Auking Mining Limited,Materials,"1,865,170",0.000,,,
AKP,Audio Pixels Limited,Consumer Discretionary,"513,676,000",0.024,,,
AL8,Alderan Resource Limited,Materials,"4,513,980",0.000,,,
ALC,Alcidion Group Limited,Health Care,"92,652,200",0.004,,,
ALF,Australian Leaders,,"225,558,000",0.010,,,
ALG,Ardentleisuregrpltd,Consumer Discretionary,"578,046,000",0.027,,,
ALI,Argo Global Limited,,"309,972,000",0.014,,,
ALK,Alkane Resources Limited,Materials,"177,134,000",0.008,,,
ALL,Aristocrat Leisure,Consumer Discretionary,"18,594,400,000",0.861,,,
ALQ,Als Limited,Industrials,"3,447,150,000",0.160,,,
ALT,Analytica Limited,Health Care,"13,348,000",0.001,,,
ALU,Altium Limited,Information Technology,"4,036,720,000",0.187,,,
ALX,Atlas Arteriainary Stapled Securities,Industrials,"4,837,510,000",0.224,,,
ALY,Alchemy Resource Limited,Materials,"5,725,450",0.000,,,
AMA,AMA Group Limited,Industrials,"684,741,000",0.032,,,
AMB,Ambition Group Limited,Industrials,"5,387,860",0.000,,,
AMC,Amcor Limited,Materials,"19,086,200,000",0.883,,,
AMD,Arrow Minerals,Materials,"3,145,410",0.000,,,
AME,Alto Metals Limited,Materials,"8,654,630",0.000,,,
AMG,Ausmex Mining GP Limited,Materials,"31,878,200",0.001,,,
AMH,Amcil Limited,,"240,263,000",0.011,,,
AMI,Aurelia Metals Limited,Materials,"538,085,000",0.025,,,
AML,Aeon Metals Limited,Materials,"168,267,000",0.008,,,
AMN,Agrimin Limited,Materials,"83,602,900",0.004,,,
AMO,Ambertech Limited,Information Technology,"3,057,320",0.000,,,
AMP,AMP Limited,Financials,"6,393,890,000",0.296,,,
AMS,Atomos,Consumer Discretionary,"183,869,000",0.009,,,
AMT,Allegra Orthopaedics,Health Care,"9,955,900",0.000,,,
ANG,Austin Engineering,Industrials,"112,873,000",0.005,,,
ANL,Amani Gold Limited,Materials,"7,380,460",0.000,,,
ANN,Ansell Limited,Health Care,"3,344,530,000",0.155,,,
ANO,Advance Nanotek Limited,Materials,"386,025,000",0.018,,,
ANP,Antisense Therapeut,Health Care,"21,845,400",0.001,,,
ANQ,Anaeco Limited,Industrials,"7,976,900",0.000,,,
ANR,Anatara LS Limited,Health Care,"17,541,700",0.001,,,
ANS,Austsino Res Group Limited,Materials,"89,256,100",0.004,,,
ANW,Aus Tin Mining,Materials,"24,765,700",0.001,,,
ANZ,ANZ Banking Group Limited,Financials,"78,988,900,000",3.656,,,
AO1,Assetowl Limited,Information Technology,"2,210,240",0.000,,,
AOA,Ausmon Resorces,Materials,"2,114,160",0.000,,,
AOF,Australian Unity Off Ordinary Units FP,Real Estate,"455,929,000",0.021,,,
AOG,Aveo Groupinary/Units Stapled Securities,Real Estate,"1,242,780,000",0.058,,,
AOK,Austex Oil Limited,Energy,"9,584,960",0.000,,,
AON,Apollo Minerals Limited,Materials,"16,800,100",0.001,,,
AOP,Apollo Consolidated,Materials,"39,865,800",0.002,,,
AOU,Auroch Minerals Limited,Materials,"7,035,250",0.000,,,
AOW,American Patriot Oil,Energy,"14,736,900",0.001,,,
APA,APA Group,Utilities,"11,964,100,000",0.554,,,
APC,Aust Potash Limited,Materials,"27,175,600",0.001,,,
APD,Apn Property Group,Financials,"139,616,000",0.006,,,
APE,AP Eagers Limited,Consumer Discretionary,"1,980,050,000",0.092,,,
APG,Austpac Resources NL,Materials,"2,834,000",0.000,,,
API,Australian Pharm,Health Care,"640,294,000",0.030,,,
APL,Antipodes Global INV,,"540,521,000",0.025,,,
APT,Afterpay Touch,Information Technology,"5,768,050,000",0.267,,,
APW,Aims Pror Sec Fund Ordinary Units FP,Real Estate,"64,897,500",0.003,,,
APX,Appen Limited,Information Technology,"3,147,730,000",0.146,,,
APZ,Aspen Groupinary/Units Stapled Securities,Real Estate,"92,900,800",0.004,,,
AQC,Auspaccoal Limited,Materials,"27,261,800",0.001,,,
AQD,Ausquest Limited,Materials,"7,134,470",0.000,,,
AQG,Alacer Gold Corp,Materials,"398,844,000",0.018,,,
AQI,Alicanto Min Limited,Materials,"5,910,250",0.000,,,
AQR,Apn CONV Retail REIT,Real Estate,"235,182,000",0.011,,,
AQS,AQUIS Ent Limited,Consumer Discretionary,"964,418",0.000,,,
AQX,Alice QUEEN Limited,Materials,"11,729,900",0.001,,,
