ASX Listed Companies (1 June 2019),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
CAE,Cannindah Resources,Materials,"2,536,600",0.000,,,
CAF,Centrepoint Alliance,Financials,"13,101,700",0.001,,,
CAG,Caperangeltd,Information Technology,"33,292,500",0.002,,,
CAI,Calidus Resources,Materials,"23,283,900",0.001,,,
CAJ,Capitol Health,Health Care,"193,887,000",0.009,,,
CAM,Clime Capital,,"81,172,200",0.004,,,
CAN,Cann Group Limited,Health Care,"300,579,000",0.014,,,
CAP,Carpentaria Resource,Materials,"16,508,000",0.001,,,
CAQ,CAQ Holdings Limited,Real Estate,"25,122,500",0.001,,,
CAR,Carsales.com Limited,Information Technology,"3,318,230,000",0.154,,,
CAS,Crusader Resources,Materials,"12,337,400",0.001,,,
CAT,Catapult Group Int Limited,Information Technology,"248,164,000",0.011,,,
CAV,Carnavale Resources,Materials,"2,672,000",0.000,,,
CAY,Canyon Resources Limited,Materials,"79,472,500",0.004,,,
CAZ,Cazaly Resources,Materials,"6,053,300",0.000,,,
CBA,Commonwealth Bank,Financials,"138,982,000,000",6.433,,,
CBC,CBG Capital Limited,,"24,355,900",0.001,,,
CBL,CBL Corporation Limited,Financials,"664,894,000",0.031,,,
CBY,Canterbury Resources,Materials,"13,661,000",0.001,,,
CCA,Change Financial Limited,Information Technology,"5,831,770",0.000,,,
CCE,Carnegie CLN Energy,Utilities,"8,644,360",0.000,,,
CCG,Commschoice,Information Technology,"6,587,960",0.000,,,
CCJ,County International,Energy,"1,130,100",0.000,,,
CCL,Coca-Cola Amatil,Consumer Staples,"6,899,720,000",0.319,,,
CCP,Credit Corp Group,Financials,"1,367,460,000",0.063,,,
CCV,Cash Converters,Consumer Discretionary,"110,959,000",0.005,,,
CCX,City Chic Collective,Consumer Discretionary,"346,025,000",0.016,,,
CCZ,Castillo Copper Limited,Materials,"10,265,500",0.000,,,
CD1,Cordish Dixon Pef I Ordinary Units FP,,"72,175,400",0.003,,,
CD2,Cordish Dixon Pef Ii Ordinary Units FP,,"124,178,000",0.006,,,
CD3,Cordish Dixon Pefiii Ordinary Units FP,,"114,525,000",0.005,,,
CDA,Codan Limited,Information Technology,"585,826,000",0.027,,,
CDD,Cardno Limited,Industrials,"412,034,000",0.019,,,
CDG,Cleveland Min Limited,Materials,"27,878,500",0.001,,,
CDH,Chongherr Investment,Materials,"390,622",0.000,,,
CDM,Cadence Capital,,"264,238,000",0.012,,,
CDP,Carindale Property Units FP,Real Estate,"469,000,000",0.022,,,
CDT,Castle Minerals,Materials,"1,342,780",0.000,,,
CDU,Cudeco Limited,Materials,"92,655,400",0.004,,,
CDV,Cardinal Reso Limited,Materials,"145,408,000",0.007,,,
CDX,Cardiex Limited,Health Care,"22,951,600",0.001,,,
CDY,Cellmid Limited,Health Care,"15,467,800",0.001,,,
CE1,Calima Energy,Energy,"30,646,900",0.001,,,
CEL,Challenger Exp Limited,Energy,"934,722",0.000,,,
CEN,Contact Energy Limited,Utilities,"1,231,720,000",0.057,,,
CETF,Vaneck China Ashare ETF Cdis 1:1,,"26,968,900",0.001,,,
CFE,Cape Lambert Res Limited,Materials,"11,219,200",0.001,,,
CFO,Cfoam Limited,Industrials,"25,825,600",0.001,,,
CG1,Carbonxt Group,Materials,"24,275,900",0.001,,,
CGA,Contango Asset,Financials,"20,856,900",0.001,,,
CGB,Cann Global Limited,Health Care,"59,660,100",0.003,,,
CGC,Costa Group Holdings,Consumer Staples,"1,266,190,000",0.059,,,
CGF,Challenger Limited,Financials,"4,935,580,000",0.228,,,
CGL,The Citadel Group,Information Technology,"212,800,000",0.010,,,
CGM,Cougar Metals NL,Materials,"1,176,580",0.000,,,
CGN,Crater Gold Min Limited,Materials,"18,412,400",0.001,,,
CGO,CPT Global Limited,Information Technology,"7,186,690",0.000,,,
CGR,CML Group Limited,Financials,"93,641,200",0.004,,,
CGS,Cogstate Limited,Health Care,"29,203,100",0.001,,,
CHC,Charter Hall Group Stapled Securities US Prohibited,Real Estate,"4,816,140,000",0.223,,,
CHK,Cohiba Min Limited,Materials,"5,981,530",0.000,,,
CHN,Chalice Gold Mines,Materials,"31,988,200",0.001,,,
CHR,Chalmers Limited,Industrials,"31,217,400",0.001,,,
CHZ,Chesser Resources,Materials,"9,951,210",0.000,,,
CI1,Credit Intelligence,Industrials,"11,486,000",0.001,,,
CIA,Champion Iron Limited,Materials,"1,376,910,000",0.064,,,
CIE,Contango Inc Gen Limited,,"79,728,800",0.004,,,
CII,Ci Resources Limited,Materials,"156,034,000",0.007,,,
CIM,Cimic Group Limited,Industrials,"14,643,300,000",0.678,,,
CIN,Carlton Investments,,"813,831,000",0.038,,,
CINPA,Carlton Investments 7% Cumulative Preference,Financials,"170,105",0.000,,,
CIO,Connected Io Limited,Information Technology,"3,626,170",0.000,,,
CIP,Centuria I REIT Ordinary Units FP,Real Estate,"828,791,000",0.038,,,
CIW,Clime Investment,Financials,"26,119,900",0.001,,,
CIZ,Corizon Limited,,"3,150,000",0.000,,,
CKA,Cokal Limited,Materials,"43,410,200",0.002,,,
CKF,Collins Foods Limited,Consumer Discretionary,"926,268,000",0.043,,,
CL1,Class Limited,Information Technology,"156,491,000",0.007,,,
CL8,Collaborate Corp,Consumer Discretionary,"5,780,350",0.000,,,
CLA,Celsius Resource Limited,Materials,"31,045,900",0.001,,,
CLB,Candy Club,Consumer Staples,"10,331,200",0.000,,,
CLF,Concentrated Leaders,,"75,439,900",0.003,,,
CLH,Collection House,Financials,"174,099,000",0.008,,,
CLI,Croplogic,Industrials,"12,864,100",0.001,,,
CLQ,Clean TEQ Holdings Limited,Industrials,"205,277,000",0.010,,,
CLT,Cellnet Group,Information Technology,"15,648,800",0.001,,,
CLV,Clover Corporation,Materials,"350,185,000",0.016,,,
CLW,CHTR H LWR,Real Estate,"1,389,050,000",0.064,,,
CLX,Cti Logistics,Industrials,"62,947,100",0.003,,,
CLY,Clancy Exploration,Materials,"3,504,390",0.000,,,
CLZ,Classic Min Limited,Materials,"3,005,720",0.000,,,
CM1,Coolgardie Minerals,Materials,"4,405,390",0.000,,,
CM8,Crowd Media Limited,Consumer Discretionary,"7,000,870",0.000,,,
CMA,Centuria Metro REIT Ordinary Units FP,Real Estate,"937,046,000",0.043,,,
CMC,China Magnesium Corp,Materials,"9,248,770",0.000,,,
CMD,Cassius Mining Limited,Materials,"4,963,680",0.000,,,
CML,Chase Mining Limited,Materials,"5,174,050",0.000,,,
CMM,Capricorn Metals,Materials,"83,351,500",0.004,,,
CMP,Compumedics Limited,Health Care,"102,755,000",0.005,,,
CMW,Cromwell Propinary/Units Stapled Securities,Real Estate,"2,583,320,000",0.120,,,
CNB,Carnaby Resource Limited,Materials,"12,477,800",0.001,,,
CNEW,Vaneck China New,,"37,942,000",0.002,,,
CNI,Centuria Capitalinary/Units Stapled Securities,Financials,"596,432,000",0.028,,,
CNJ,Conico Limited,Materials,"4,572,860",0.000,,,
CNL,Celamin Holdings Limited,Materials,"9,974,890",0.000,,,
CNU,Chorus Limited,Telecommunication Services,"2,385,330,000",0.110,,,
CNW,Cirrus Net Hold Limited,Information Technology,"37,102,100",0.002,,,
CNX,Carbon Energy,Energy,"4,805,080",0.000,,,
COB,Cobalt Blue Limited,Materials,"21,180,900",0.001,,,
COE,Cooper Energy Limited,Energy,"867,530,000",0.040,,,
COG,Consolidated Ops GP,Financials,"134,130,000",0.006,,,
COH,Cochlear Limited,Health Care,"11,550,700,000",0.535,,,
COI,Comet Ridge Limited,Energy,"222,002,000",0.010,,,
COL,Coles Group,Consumer Staples,"16,607,400,000",0.769,,,
COO,Corum Group Limited,Information Technology,"6,660,360",0.000,,,
CORE,ETFs GLB CORE Infra,,"8,371,210",0.000,,,
COY,Coppermoly Limited,Materials,"17,230,400",0.001,,,
CP1,Cannpal Animal,Health Care,"6,470,190",0.000,,,
CPH,Creso Pharma Limited,Health Care,"56,172,600",0.003,,,
CPU,Computershare Limited,Information Technology,"9,056,500,000",0.419,,,
CPV,Clearvue Technologie,Industrials,"16,436,900",0.001,,,
CQE,Charter Hall Edu TR Units FP,Real Estate,"1,091,280,000",0.051,,,
CQR,Charter Hall Retail Units FP,Real Estate,"1,948,790,000",0.090,,,
CR1,Constellation Res,Materials,"8,400,020",0.000,,,
CRB,Carbine Resources,Materials,"8,389,360",0.000,,,
CRD,Credible Labs,Financials,"221,778,000",0.010,,,
CRED,Betaauscorpbondetf,,"185,654,000",0.009,,,
CRL,Comet Resources,Materials,"6,720,000",0.000,,,
CRM,Carbon Minerals Limited,Energy,"2,256,420",0.000,,,
CRN,Coronado Global Res Cdi 10:1 US Prohibited Excluding QIB,Materials,"3,083,190,000",0.143,,,
CRO,Cirralto Limited,Information Technology,"6,602,580",0.000,,,
CRS,Caprice Resources,Materials,"3,444,000",0.000,,,
CSD,Consolidated Tin Min,Materials,"13,610,500",0.001,,,
CSE,Copper Strike Limited,Materials,"9,616,030",0.000,,,
CSK,Crowdspark Limited,Consumer Discretionary,"137,325",0.000,,,
CSL,CSL Limited,Health Care,"93,109,600,000",4.310,,,
CSR,CSR Limited,Materials,"2,001,480,000",0.093,,,
CSS,Clean Seas Limited,Consumer Staples,"82,245,600",0.004,,,
CSV,CSG Limited,Information Technology,"73,537,300",0.003,,,
CT1,CCP Technologies Limited,Information Technology,"8,031,010",0.000,,,
CTD,Corp Travel Limited,Consumer Discretionary,"2,472,530,000",0.114,,,
CTE,Cryosite Limited,Health Care,"1,640,080",0.000,,,
CTL,Centennial MNG Limited,Materials,"9,399,910",0.000,,,
CTM,Centaurus Metals Limited,Materials,"24,344,800",0.001,,,
CTO,Citigold Corp Limited,Materials,"8,638,540",0.000,,,
CTP,Central Petroleum,Energy,"96,245,700",0.004,,,
CTX,Caltex Australia,Energy,"6,589,770,000",0.305,,,
CUE,CUE Energy Resource,Energy,"46,075,900",0.002,,,
CUL,Cullen Resources,Materials,"1,694,650",0.000,,,
CUP,Countplus Limited,Industrials,"55,969,100",0.003,,,
CURE,ETFs S&P Biotech,,"1,999,600",0.000,,,
CUV,Clinuvel Pharmaceut,Health Care,"1,688,650,000",0.078,,,
CUX,Crossland Metals Limited,Materials,"6,069,880",0.000,,,
CV1,CV Check Limited,Information Technology,"35,487,100",0.002,,,
CVC,CVC Limited,Financials,"322,255,000",0.015,,,
CVF,Contrarian Valfd Limited,,"72,559,200",0.003,,,
CVL,Civmec Limited,Industrials,"192,885,000",0.009,,,
CVN,Carnarvon Petroleum,Energy,"711,645,000",0.033,,,
CVS,Cervantes Corp Limited,Materials,"1,994,030",0.000,,,
CVT,Covata Limited,Information Technology,"10,225,300",0.000,,,
CVV,Caravel Minerals Limited,Materials,"8,874,080",0.000,,,
CVW,Clearview Wealth Limited,Financials,"528,118,000",0.024,,,
CWL,Chant West Holdings,Information Technology,"8,055,050",0.000,,,
CWN,Crown Resorts Limited,Consumer Discretionary,"8,484,790,000",0.393,,,
CWP,Cedar Woods Prop,Real Estate,"472,695,000",0.022,,,
CWX,Carawine Resources,Materials,"5,890,460",0.000,,,
CWY,Cleanaway Waste Limited,Industrials,"4,559,250,000",0.211,,,
CWZ,Cashwerkz Limited,Consumer Discretionary,"31,976,300",0.001,,,
CXL,CALIX Limited,Materials,"72,199,600",0.003,,,
CXM,Centrex Metals,Materials,"37,882,200",0.002,,,
CXO,Core Lithium,Materials,"33,334,400",0.002,,,
CXU,Cauldron Energy Limited,Energy,"6,585,790",0.000,,,
CXX,Cradle Resources Limited,Materials,"15,722,700",0.001,,,
CXZ,Connexion Telematics,Information Technology,"10,987,100",0.001,,,
CY5,CYGNUS Gold Limited,Materials,"1,804,250",0.000,,,
CYB,CYBG Plc Cdi 1:1,Financials,"3,030,840,000",0.140,,,
CYC,Cyclopharm Limited,Health Care,"89,308,500",0.004,,,
CYG,Coventry Group,Industrials,"77,590,200",0.004,,,
CYL,Catalyst Metals,Materials,"153,446,000",0.007,,,
CYP,Cynata Therapeutics,Health Care,"128,375,000",0.006,,,
CYQ,CYCLIQ Group Limited,Consumer Discretionary,"1,943,940",0.000,,,
CZI,Cassini Resources,Materials,"39,888,700",0.002,,,
CZL,Cons ZINC Limited,Materials,"15,299,500",0.001,,,
CZN,Corazon Limited,Materials,"4,142,070",0.000,,,
CZR,Coziron Resources,Materials,"19,641,100",0.001,,,
D13,Department 13 Intl,Industrials,"22,286,900",0.001,,,
D2O,Duxton Water Limited,,"190,994,000",0.009,,,
DAF,Discovery Africa Limited,Materials,"1,275,640",0.000,,,
DAU,Dampier Gold Limited,Materials,"4,592,640",0.000,,,
DAV,Davenport Resources,Materials,"8,445,110",0.000,,,
DBF,Duxton Broadacre,Consumer Staples,"59,264,200",0.003,,,
DCC,Digitalx Limited,Information Technology,"35,886,600",0.002,,,
DCG,Decmil Group Limited,Industrials,"225,203,000",0.010,,,
DCL,Domacom Limited,Financials,"15,911,600",0.001,,,
DCN,Dacian Gold Limited,Materials,"357,756,000",0.017,,,
DDD,3D Resources Limited,Materials,"1,107,220",0.000,,,
DDR,Dicker Data Limited,Information Technology,"826,608,000",0.038,,,
DDT,Datadot Technology,Consumer Discretionary,"6,484,850",0.000,,,
DEG,De Grey Mining,Materials,"38,507,200",0.002,,,
DEM,De.Mem Limited,Utilities,"14,237,300",0.001,,,
DEV,DEVEX Resources Limited,Energy,"9,047,440",0.000,,,
DFM,Dongfang Modern AG,Consumer Staples,"340,489,000",0.016,,,
DGH,Desane Group Holdings,Real Estate,"53,183,000",0.002,,,
DGO,DGO Gold Limited,Materials,"22,109,300",0.001,,,
DGR,DGR Global Limited,Materials,"67,450,000",0.003,,,
DHG,Domain Holdings Aus,Information Technology,"1,918,330,000",0.089,,,
DHR,Dark Horse Resources,Materials,"9,880,430",0.000,,,
DIV,Ubs IQ Mstar Aus DIV,,"9,505,500",0.000,,,
DJRE,SPDR DJ Global REIT,,"299,816,000",0.014,,,
DJW,Djerriwarrh,,"710,403,000",0.033,,,
DKM,Duketon Mining,Materials,"16,522,300",0.001,,,
DLC,Delecta Limited,Consumer Discretionary,"3,479,980",0.000,,,
DLX,Duluxgroup Limited,Materials,"3,787,410,000",0.175,,,
DMA,Dynasty Resources,Materials,"30,379,600",0.001,,,
DME,Dome Gold Mines Limited,Materials,"54,845,200",0.003,,,
DMG,Dragon Mountain Gold,Materials,"5,270,610",0.000,,,
DMKT,Ampcap Dynamic MKTHF,,"24,928,500",0.001,,,
DMP,Domino PIZZA Enterpr,Consumer Discretionary,"3,349,150,000",0.155,,,
DN8,Dreamscape Netwk Limited,Information Technology,"54,438,500",0.003,,,
DNA,Donaco International,Consumer Discretionary,"74,123,400",0.003,,,
DNK,Danakali Limited,Materials,"195,673,000",0.009,,,
DOR,Doriemus Plc,Energy,"3,826,890",0.000,,,
DOW,Downer Edi Limited,Industrials,"4,240,230,000",0.196,,,
DRE,Drednought Resources,Materials,"4,437,930",0.000,,,
DRO,Droneshield Limited,Industrials,"28,039,900",0.001,,,
DRUG,Beta Global Health,,"29,281,300",0.001,,,
DRX,Diatreme Resources,Materials,"16,037,000",0.001,,,
DSE,Dropsuite Limited,Information Technology,"14,810,400",0.001,,,
DTI,DTI Group Limited,Information Technology,"9,259,700",0.000,,,
DTL,Data#3 Limited,Information Technology,"287,933,000",0.013,,,
DTM,Dart Mining NL,Materials,"5,056,880",0.000,,,
DTR,Dateline Resources,Materials,"23,908,400",0.001,,,
DTS,Dragontail Systems,Information Technology,"49,600,000",0.002,,,
DTZ,DOTZ Nano Limited,Information Technology,"14,617,100",0.001,,,
DUB,Dubber Corp Limited,Information Technology,"231,347,000",0.011,,,
DUI,Diversified United,,"938,800,000",0.043,,,
DVL,Dorsavi Limited,Health Care,"12,853,100",0.001,,,
DVN,Devine Limited,Real Estate,"23,809,600",0.001,,,
DW8,Digital Wine Venture,Consumer Discretionary,"6,228,160",0.000,,,
DWS,DWS Limited,Information Technology,"137,764,000",0.006,,,
DXB,Dimerix Limited,Health Care,"12,068,800",0.001,,,
DXN,The Data Exchange,Information Technology,"16,289,700",0.001,,,
DXS,Dexus,Real Estate,"14,059,500,000",0.651,,,
DYL,Deep Yellow Limited,Energy,"67,433,300",0.003,,,
E25,Element 25 Limited,Materials,"15,533,400",0.001,,,
E2E,Eon NRG Limited,Energy,"4,619,330",0.000,,,
E2M,E2 Metals,Materials,"14,514,200",0.001,,,
E3S,E3SIXTY,Materials,"283,649",0.000,,,
E88,Ensogo Limited,,"25,433,300",0.001,,,
EAF,Evanspartnersasiafnd Ordinary Units FP,,"153,482,000",0.007,,,
EAI,Ellerston Asian,,"138,610,000",0.006,,,
EAR,Echo Resources,Materials,"89,351,300",0.004,,,
EAS,Easton Investments,Financials,"30,841,900",0.001,,,
EAX,Energy Action Limited,Industrials,"8,564,860",0.000,,,
EBG,Eumundi Group Limited,Consumer Discretionary,"36,763,900",0.002,,,
EBO,Ebos Group Limited,Health Care,"3,405,570,000",0.158,,,
ECG,Ecargo HLDG,Industrials,"47,374,200",0.002,,,
ECL,Excelsior Capital,Industrials,"35,808,200",0.002,,,
ECT,ENV Clean Tech Limited,Industrials,"62,406,700",0.003,,,
ECX,Eclipx Group Limited,Financials,"357,993,000",0.017,,,
ED1,Evans Dixon,Financials,"261,670,000",0.012,,,
EDC,Eildon Capital Limited,Financials,"46,467,500",0.002,,,
EDE,Eden INV Limited,Energy,"51,484,900",0.002,,,
EEG,Empire Energy Limited,Energy,"43,948,600",0.002,,,
EER,East Energy Resource,Energy,"22,406,900",0.001,,,
EEU,Betashares Euro ETF,,"6,045,000",0.000,,,
EFE,Eastern Iron,Materials,"1,647,600",0.000,,,
EFF,E&P Aus Flagship Ordinary Units FP,,"33,032,200",0.002,,,
EGA,Egan Street Res Limited,Materials,"32,613,400",0.002,,,
EGD,E&P GBL Disruption Ordinary Units FP,,"260,776,000",0.012,,,
EGF,Evans & Partners Ordinary Units FP,,"199,424,000",0.009,,,
EGG,Enero Group Limited,Consumer Discretionary,"113,855,000",0.005,,,
EGH,Eureka Group Limited,Real Estate,"62,110,200",0.003,,,
EGI,Ellerston Global INV,,"100,853,000",0.005,,,
EGL,Environmental Group,Industrials,"10,441,500",0.000,,,
EGN,Engenco Limited,Industrials,"133,187,000",0.006,,,
EGO,Empire Oil & Gas,Energy,"614,241",0.000,,,
EGS,Eastern Goldfields,Materials,"175,210,000",0.008,,,
EGY,Energy Tech Limited,Industrials,"23,717,100",0.001,,,
EHE,Estia Health Limited,Health Care,"703,627,000",0.033,,,
EHH,Eagle HLTH Holdings Limited,Consumer Staples,"67,917,500",0.003,,,
EHL,Emeco Holdings,Industrials,"583,398,000",0.027,,,
EHX,Ehr Resources,Materials,"3,800,040",0.000,,,
EIGA,Einvest Income,,"22,474,900",0.001,,,
EINC,Betalm Equity Income,,"20,722,600",0.001,,,
ELD,Elders Limited,Consumer Staples,"661,901,000",0.031,,,
ELK,ELK Petroleum,Energy,"22,771,600",0.001,,,
ELO,Elmo Software,Information Technology,"161,036,000",0.007,,,
ELS,Elsight Limited,Information Technology,"23,702,300",0.001,,,
ELT,Elementos Limited,Materials,"7,721,660",0.000,,,
ELX,ELLEX Medical Lasers,Health Care,"84,006,700",0.004,,,
EM1,Emerge Gaming Limited,Information Technology,"10,743,200",0.000,,,
EM2,Eagle Mountain,Materials,"9,003,880",0.000,,,
EMB,Embelton Limited,Industrials,"22,657,500",0.001,,,
EME,Energy Metals Limited,Energy,"30,404,100",0.001,,,
EMH,European Metals HLDG,Materials,"37,385,700",0.002,,,
EMKT,Vaneck Emerging MKT,,"14,400,100",0.001,,,
EML,EML Payments Limited,Information Technology,"655,664,000",0.030,,,
EMN,Euromanganese,Materials,"17,069,800",0.001,,,
EMP,Emperor Energy Limited,Energy,"3,053,580",0.000,,,
EMR,Emerald Res NL,Materials,"118,648,000",0.005,,,
EMU,EMU NL,Materials,"6,797,120",0.000,,,
EMV,Emvision Medical,Health Care,"14,888,100",0.001,,,
EN1,Engage:BDR Limited,Information Technology,"21,798,700",0.001,,,
ENA,Ensurance Limited,Financials,"6,953,910",0.000,,,
ENB,Eneabba Gas Limited,Utilities,"2,892,250",0.000,,,
ENE,Enevis Limited,Industrials,"14,654,400",0.001,,,
ENN,Elanor Investors Groupinary/Units Stapled Securities,Consumer Discretionary,"187,014,000",0.009,,,
ENR,Encounter Resources,Materials,"17,316,800",0.001,,,
ENT,Enterprise Metals,Materials,"3,612,720",0.000,,,
ENX,Enegex Limited,Energy,"804,997",0.000,,,
EOF,Ecofibre Limited,Health Care,"250,805,000",0.012,,,
EOL,Energy One Limited,Information Technology,"39,314,500",0.002,,,
EOR,En Oil Gas Limited,Energy,"3,278,480",0.000,,,
EOS,Electro Optic SYS,Industrials,"370,961,000",0.017,,,
EPA,Ephraim Res Limited,Consumer Staples,"3,080,000",0.000,,,
EPD,Empired Limited,Information Technology,"41,633,100",0.002,,,
EPM,Eclipse Metals,Energy,"2,297,350",0.000,,,
EPW,Erm Power Limited,Utilities,"482,922,000",0.022,,,
EQE,EQUUS Mining Limited,Materials,"4,486,380",0.000,,,
EQT,Equity HL,Financials,"574,408,000",0.027,,,
EQX,Equatorial Res Limited,Materials,"34,844,700",0.002,,,
ERA,Energy Resources 'A',Energy,"108,722,000",0.005,,,
ERF,Elanoretl Property,Real Estate,"154,476,000",0.007,,,
ERG,Eneco Refresh Limited,Consumer Staples,"19,337,400",0.001,,,
ERL,Empire Resources,Materials,"4,352,700",0.000,,,
ERM,Emmerson Resources,Materials,"31,014,300",0.001,,,
ERX,Exore Resources Limited,Materials,"33,519,100",0.002,,,
ESE,Esense-Lab Limited,Health Care,"4,552,250",0.000,,,
ESGI,Vaneck ESG Internatl,,"21,521,000",0.001,,,
ESH,Esports Mogul Limited,Information Technology,"20,704,500",0.001,,,
ESK,Etherstack Plc,Information Technology,"18,428,100",0.001,,,
ESR,Estrella Res Limited,Materials,"5,365,620",0.000,,,
ESTX,ETFSEUROSTOXX50,,"60,630,900",0.003,,,
ESV,Eservglobal Limited,Information Technology,"118,663,000",0.005,,,
ETE,Entek Energy Limited,Energy,"3,428,100",0.000,,,
ETF,Ubs IQ Mstar Aus,,"7,772,390",0.000,,,
ETHI,Betasustainability,,"304,288,000",0.014,,,
ETPMAG,ETFs Physical Silver,,"60,373,300",0.003,,,
ETPMPD,ETFs Physical Palladium,,"2,042,280",0.000,,,
ETPMPM,ETFs Physical PM Basket,,"7,142,570",0.000,,,
ETPMPT,ETFs Physical Platinum,,"1,671,780",0.000,,,
EUC,European Cobalt Limited,Materials,"15,233,900",0.001,,,
EUR,European Lithium Limited,Materials,"54,046,800",0.003,,,
EVE,EVE Investments Limited,Financials,"9,573,260",0.000,,,
EVN,Evolution Mining Limited,Materials,"6,567,660,000",0.304,,,
EVO,Evolve Education Group,Consumer Discretionary,"70,199,200",0.003,,,
EVS,Envirosuite Limited,Information Technology,"49,977,400",0.002,,,
EVT,Event Hospitality,Consumer Discretionary,"2,060,670,000",0.095,,,
EVZ,EVZ Limited,Industrials,"19,223,300",0.001,,,
EWC,Energy World Corpor,Utilities,"107,738,000",0.005,,,
EX1,Exopharm Limited,Health Care,"20,309,400",0.001,,,
EX20,BETAAUSEX20,,"117,813,000",0.005,,,
EXL,Elixinol Global,Consumer Staples,"221,382,000",0.010,,,
EXO,ENNOX Group Limited,Financials,"3,537,020",0.000,,,
EXP,Experience Co Limited,Consumer Discretionary,"127,837,000",0.006,,,
EXR,Elixir Petroleum Limited,Energy,"19,488,200",0.001,,,
EZL,EUROZ Limited,Financials,"189,967,000",0.009,,,
FAIR,Betaausustainability,,"276,542,000",0.013,,,
FAM,Family Insights,Information Technology,"2,500,000",0.000,,,
FAR,FAR Limited,Energy,"357,982,000",0.017,,,
FAU,First Au Limited,Materials,"3,674,400",0.000,,,
FBR,FBR Limited,Industrials,"110,887,000",0.005,,,
FBU,Fletcher Building,Materials,"4,207,000,000",0.195,,,
FCC,First Cobalt Corp,Materials,"11,871,800",0.001,,,
FCG,Frontier Capital Group,Consumer Discretionary,"19,103,200",0.001,,,
FCT,Firstwave Cloud Tech,Information Technology,"81,433,700",0.004,,,
FDIV,Vaneck Franked DIV,,"10,430,000",0.000,,,
FDM,Freedom Oil Gas,Energy,"47,389,000",0.002,,,
FDV,Frontier Digital Limited,Information Technology,"154,406,000",0.007,,,
FDX,Frontier Diamonds,Materials,"2,662,660",0.000,,,
FE8,Faster Enterprises,Real Estate,"1,552,400",0.000,,,
FEI,Fe INV Group Limited,Financials,"14,840,500",0.001,,,
FEL,Fe Limited,Materials,"8,573,890",0.000,,,
FEMX,Fidelity Gem,,"21,190,200",0.001,,,
FEX,FENIX Resources Limited,Materials,"22,025,400",0.001,,,
FFC,Farmaforce Limited,Health Care,"4,528,250",0.000,,,
FFG,Fatfish Blockchain,Financials,"8,069,750",0.000,,,
FFI,F.F.I. Holdings,Consumer Staples,"43,912,500",0.002,,,
FGF,First Growth Funds,,"13,598,600",0.001,,,
FGG,Future GLB Invest Co,,"525,001,000",0.024,,,
FGO,Flamingo Ai Limited,Information Technology,"7,840,890",0.000,,,
FGR,First Graphene Limited,Materials,"109,432,000",0.005,,,
FGX,Future Gen Limited,,"468,809,000",0.022,,,
FHS,Freehill Mining Limited,Materials,"12,244,100",0.001,,,
FID,Fiducian Group Limited,Financials,"157,967,000",0.007,,,
FIG,Freedom Insurance,Financials,"4,794,470",0.000,,,
FIJ,Fiji Kava Limited,Consumer Staples,"3,219,120",0.000,,,
FIN,FIN Resources Limited,Materials,"4,083,680",0.000,,,
FLC,Fluence Corporation,Industrials,"249,880,000",0.012,,,
FLN,Freelancer Limited,Industrials,"388,591,000",0.018,,,
FLOT,Vaneck Au Float Rate,,"174,137,000",0.008,,,
FLT,Flight Centre Travel,Consumer Discretionary,"4,407,030,000",0.204,,,
FMG,Fortescue Metals Group,Materials,"24,785,700,000",1.147,,,
FML,Focus Minerals Limited,Materials,"47,514,600",0.002,,,
FMS,Flinders Mines Limited,Materials,"118,496,000",0.005,,,
FNP,Freedom Food Limited,Consumer Staples,"1,292,430,000",0.060,,,
FNT,Frontier Resources,Materials,"5,869,220",0.000,,,
FOD,The Food Revolution,Consumer Staples,"47,274,900",0.002,,,
FOOD,Beta Global Agri,,"18,264,900",0.001,,,
FOR,Forager Aust SHS FND Ordinary Units FP,,"138,320,000",0.006,,,
FPC,Fat Prophets GBL Limited,,"35,509,900",0.002,,,
FPH,Fisher & Paykel H,Health Care,"8,302,920,000",0.384,,,
FPL,Fremont Petroleum,Energy,"16,683,400",0.001,,,
FPP,Fat Prophets G P F Ordinary Units FP,,"14,872,000",0.001,,,
FRI,Finbar Group Limited,Real Estate,"239,612,000",0.011,,,
FRM,Farm Pride Foods,Consumer Staples,"14,622,700",0.001,,,
FRN,Fraser Range Metals,Materials,"4,000,000",0.000,,,
FRX,Flexiroam Limited,Telecommunication Services,"9,925,420",0.000,,,
FSA,FSA Group Limited,Financials,"137,602,000",0.006,,,
FSF,Fonterra Share Fund Ordinary Units FP,Consumer Staples,"391,743,000",0.018,,,
FSG,Field Solu Holdings Limited,Telecommunication Services,"9,460,320",0.000,,,
FSI,Flagship Investments,,"43,864,700",0.002,,,
FTC,Fintech Chain Limited,Information Technology,"100,869,000",0.005,,,
FTT,Factor Theraptcs Limited,Health Care,"5,214,180",0.000,,,
FTZ,Fertoz Limited,Materials,"21,131,400",0.001,,,
FUEL,Beta Global Energy,,"32,871,400",0.002,,,
FUN,Funtastic Limited,Consumer Discretionary,"7,461,660",0.000,,,
FWD,Fleetwood Corp,Consumer Discretionary,"181,653,000",0.008,,,
FXL,Flexigroup Limited,Financials,"713,848,000",0.033,,,
FYI,FYI Resources Limited,Materials,"11,199,300",0.001,,,
