date,index,value
2009-07-15,industrials,2971.2
2009-07-15,infotech,530.7
2009-07-15,materials,9982.8
2009-07-15,telecom,1183.1
2009-07-15,utilities,4060.6
2009-07-15,realestate,1752.3
2009-07-15,aud_usd,0.803
2009-07-15,twi,63.4
2009-07-16,world,28.5556
2009-07-16,pacific,21.4515
2009-07-16,asx200,3995.6001
2009-07-16,axvi,22.889
2009-07-16,discretionary,1325.7
2009-07-16,staples,6876.6
2009-07-16,energy,14417.2
2009-07-16,financials,4365.3
2009-07-16,healthcare,7756.2
2009-07-16,industrials,3027.9
2009-07-16,infotech,536.5
2009-07-16,materials,10231.0
2009-07-16,telecom,1178.8
2009-07-16,utilities,4124.5
2009-07-16,realestate,1782.6
2009-07-16,aud_usd,0.8051
2009-07-16,twi,63.6
2009-07-17,world,28.5556
2009-07-17,pacific,21.445
2009-07-17,asx200,4000.8
2009-07-17,axvi,22.449
2009-07-17,discretionary,1327.5
2009-07-17,staples,6867.7
2009-07-17,energy,14544.6
2009-07-17,financials,4363.1
2009-07-17,healthcare,7716.7
2009-07-17,industrials,3052.5
2009-07-17,infotech,532.2
2009-07-17,materials,10273.2
2009-07-17,telecom,1163.5
2009-07-17,utilities,4087.6
2009-07-17,realestate,1791.1
2009-07-17,aud_usd,0.8021
2009-07-17,twi,63.7
2009-07-20,world,29.1116
2009-07-20,pacific,22.1085
2009-07-20,asx200,4050.3
2009-07-20,axvi,23.881999999999998
2009-07-20,discretionary,1343.6
2009-07-20,staples,6948.3
2009-07-20,energy,14818.1
2009-07-20,financials,4392.3
2009-07-20,healthcare,7789.6
2009-07-20,industrials,3081.5
2009-07-20,infotech,533.4
2009-07-20,materials,10495.4
2009-07-20,telecom,1185.1
2009-07-20,utilities,4118.7
2009-07-20,realestate,1788.2
2009-07-20,aud_usd,0.8157
2009-07-20,twi,64.2
2009-07-21,world,29.2405
2009-07-21,pacific,22.1217
2009-07-21,asx200,4050.7
2009-07-21,axvi,24.101
2009-07-21,discretionary,1357.2
2009-07-21,staples,6957.4
2009-07-21,energy,14915.4
2009-07-21,financials,4386.7
2009-07-21,healthcare,7816.1
2009-07-21,industrials,3050.9
2009-07-21,infotech,533.9
2009-07-21,materials,10547.1
2009-07-21,telecom,1167.9
2009-07-21,utilities,4054.4
2009-07-21,realestate,1774.3
2009-07-21,aud_usd,0.817
2009-07-21,twi,64.5
2009-07-22,world,29.1358
2009-07-22,pacific,22.01
2009-07-22,asx200,4068.5
2009-07-22,axvi,23.858
2009-07-22,discretionary,1372.0
2009-07-22,staples,7002.3
2009-07-22,energy,15023.3
2009-07-22,financials,4359.2
2009-07-22,healthcare,7735.5
2009-07-22,industrials,3136.1
2009-07-22,infotech,536.6
2009-07-22,materials,10672.4
2009-07-22,telecom,1181.7
2009-07-22,utilities,4086.4
2009-07-22,realestate,1770.8
2009-07-22,aud_usd,0.8158
2009-07-22,twi,64.6
2009-07-23,world,29.8529
2009-07-23,pacific,22.5487
2009-07-23,asx200,4064.1001
2009-07-23,axvi,23.533
2009-07-23,discretionary,1377.7
2009-07-23,staples,6871.2
2009-07-23,energy,15126.8
2009-07-23,financials,4304.5
2009-07-23,healthcare,7742.6
